,statusCode,statusMessage,fatrCode,facilityId,measDate,fldCode,sectCode,itemCode,senVal,ymd,cntCollect,num,totalRows,totalPage,currentPage
0,00,NORMAL_CODE,CC02,PF_0000019_01,2015-12-02 00:00:00,FG,CR,080300,33.33,20151202,6,1,42463.0,43,1
1,,,CC01,PF_0000019_01,2015-12-02 00:00:00,FG,CR,080300,9.67,20151202,6,2,,,
2,,,CC03,PF_0000019_01,2015-12-02 00:00:00,FG,CR,080300,33.33,20151202,6,3,,,
3,,,CC09,PF_0000019_01,2015-12-02 00:00:00,FG,CR,080300,0,20151202,6,4,,,
4,,,CC08,PF_0000019_01,2015-12-02 00:00:00,FG,CR,080300,.67,20151202,6,5,,,
5,,,CC01,PF_0000019_01,2015-12-03 00:00:00,FG,CR,080300,3.17,20151203,24,6,,,
6,,,CC09,PF_0000019_01,2015-12-03 00:00:00,FG,CR,080300,0,20151203,24,7,,,
7,,,CC02,PF_0000019_01,2015-12-03 00:00:00,FG,CR,080300,33.33,20151203,24,8,,,
8,,,CC08,PF_0000019_01,2015-12-03 00:00:00,FG,CR,080300,0,20151203,24,9,,,
9,,,CC03,PF_0000019_01,2015-12-03 00:00:00,FG,CR,080300,20.83,20151203,24,10,,,
10,,,CC09,PF_0000019_01,2016-03-15 18:00:00,FG,CR,080300,0,20160315,58,11,,,
11,,,CC01,PF_0000019_01,2016-03-15 18:00:00,FG,CR,080300,0,20160315,58,12,,,
12,,,CC02,PF_0000019_01,2016-03-15 18:00:00,FG,CR,080300,0,20160315,58,13,,,
13,,,CC03,PF_0000019_01,2016-03-15 18:00:00,FG,CR,080300,0,20160315,58,14,,,
14,,,CC08,PF_0000019_01,2016-03-15 18:00:00,FG,CR,080300,0,20160315,58,15,,,
15,,,CC09,PF_0000019_01,2016-03-15 19:00:00,FG,CR,080300,0,20160315,60,16,,,
16,,,CC03,PF_0000019_01,2016-03-15 19:00:00,FG,CR,080300,0,20160315,105,17,,,
17,,,CC02,PF_0000019_01,2016-03-15 19:00:00,FG,CR,080300,0,20160315,60,18,,,
