,statusCode,statusMessage,fatrCode,facilityId,measDate,fldCode,sectCode,itemCode,senVal,ymd,cntCollect,num,totalRows,totalPage,currentPage
0,00,NORMAL_CODE,CC0403,PF_0010055_01,2019-12-18 13:00:00,FG,CR,080600,,20191218,52,1,28314.0,29,1
1,,,CC01_1_L_O,PF_0010055_01,2019-12-18 13:00:00,FG,CR,080600,,20191218,13,2,,,
2,,,CC01_2_R_O,PF_0010055_01,2019-12-18 13:00:00,FG,CR,080600,,20191218,13,3,,,
3,,,CC01_1_R_O,PF_0010055_01,2019-12-18 13:00:00,FG,CR,080600,,20191218,13,4,,,
4,,,CC01_2_L_O,PF_0010055_01,2019-12-18 13:00:00,FG,CR,080600,,20191218,13,5,,,
5,,,CC03_1_L_O,PF_0010055_01,2019-12-18 13:00:00,FG,CR,080600,,20191218,13,6,,,
6,,,CC01_1_L_O,PF_0010055_01,2019-12-18 14:00:00,FG,CR,080600,,20191218,44,7,,,
7,,,CC01_2_R_O,PF_0010055_01,2019-12-18 14:00:00,FG,CR,080600,,20191218,44,8,,,
8,,,CC0403,PF_0010055_01,2019-12-18 14:00:00,FG,CR,080600,,20191218,176,9,,,
9,,,CC03_1_L_O,PF_0010055_01,2019-12-18 14:00:00,FG,CR,080600,,20191218,44,10,,,
10,,,CC01_1_R_O,PF_0010055_01,2019-12-18 14:00:00,FG,CR,080600,,20191218,44,11,,,
11,,,CC01_2_L_O,PF_0010055_01,2019-12-18 14:00:00,FG,CR,080600,,20191218,44,12,,,
12,,,CC01_1_L_O,PF_0010055_01,2019-12-18 15:00:00,FG,CR,080600,,20191218,44,13,,,
13,,,CC03_1_L_O,PF_0010055_01,2019-12-18 15:00:00,FG,CR,080600,,20191218,44,14,,,
14,,,CC01_2_R_O,PF_0010055_01,2019-12-18 15:00:00,FG,CR,080600,,20191218,44,15,,,
15,,,CC0403,PF_0010055_01,2019-12-18 15:00:00,FG,CR,080600,,20191218,176,16,,,
16,,,CC01_2_L_O,PF_0010055_01,2019-12-18 15:00:00,FG,CR,080600,,20191218,44,17,,,
17,,,CC01_1_R_O,PF_0010055_01,2019-12-18 15:00:00,FG,CR,080600,,20191218,44,18,,,
18,,,CC0403,PF_0010055_01,2019-12-18 16:00:00,FG,CR,080600,,20191218,140,19,,,
19,,,CC03_1_L_O,PF_0010055_01,2019-12-18 16:00:00,FG,CR,080600,,20191218,35,20,,,
20,,,CC01_1_R_O,PF_0010055_01,2019-12-18 16:00:00,FG,CR,080600,,20191218,35,21,,,
21,,,CC01_1_L_O,PF_0010055_01,2019-12-18 16:00:00,FG,CR,080600,,20191218,35,22,,,
22,,,CC01_2_R_O,PF_0010055_01,2019-12-18 16:00:00,FG,CR,080600,,20191218,35,23,,,
23,,,CC01_2_L_O,PF_0010055_01,2019-12-18 16:00:00,FG,CR,080600,,20191218,35,24,,,
24,,,CC03_1_L_O,PF_0010055_01,2019-12-18 17:00:00,FG,CR,080600,,20191218,38,25,,,
25,,,CC0403,PF_0010055_01,2019-12-18 17:00:00,FG,CR,080600,43.39,20191218,152,26,,,
26,,,CC01_1_R_O,PF_0010055_01,2019-12-18 17:00:00,FG,CR,080600,0,20191218,38,27,,,
27,,,CC01_2_R_O,PF_0010055_01,2019-12-18 17:00:00,FG,CR,080600,,20191218,38,28,,,
28,,,CC01_1_L_O,PF_0010055_01,2019-12-18 17:00:00,FG,CR,080600,0,20191218,38,29,,,
29,,,CC01_2_L_O,PF_0010055_01,2019-12-18 17:00:00,FG,CR,080600,0,20191218,38,30,,,
30,,,CC01_2_R_O,PF_0010055_01,2019-12-18 18:00:00,FG,CR,080600,,20191218,39,31,,,
