,statusCode,statusMessage,fatrCode,facilityId,measDate,fldCode,sectCode,itemCode,senVal,ymd,cntCollect,num,totalRows,totalPage,currentPage
0,00,NORMAL_CODE,CC03_1_R_C,PF_0000006_01,2015-12-01 00:00:00,FG,CR,080300,0,20151201,24,1,44024.0,45,1
1,,,CC01_1_L_C,PF_0000006_01,2015-12-01 00:00:00,FG,CR,080300,0,20151201,24,2,,,
2,,,CC03_2_R_C,PF_0000006_01,2015-12-01 00:00:00,FG,CR,080300,24.17,20151201,24,3,,,
3,,,CC01_3_L_C,PF_0000006_01,2015-12-01 00:00:00,FG,CR,080300,41.67,20151201,24,4,,,
4,,,CC0803,PF_0000006_01,2015-12-01 00:00:00,FG,CR,080300,0,20151201,24,5,,,
5,,,CC03_2_L_C,PF_0000006_01,2015-12-01 00:00:00,FG,CR,080300,20.83,20151201,24,6,,,
6,,,CC03_1_R_O,PF_0000006_01,2015-12-01 00:00:00,FG,CR,080300,16,20151201,24,7,,,
7,,,CC03_1_L_C,PF_0000006_01,2015-12-01 00:00:00,FG,CR,080300,3.25,20151201,24,8,,,
8,,,CC01_2_L_C,PF_0000006_01,2015-12-01 00:00:00,FG,CR,080300,0,20151201,24,9,,,
9,,,CC0403,PF_0000006_01,2015-12-01 00:00:00,FG,CR,080300,100,20151201,24,10,,,
10,,,CC03_1_R_O,PF_0000006_01,2015-12-02 00:00:00,FG,CR,080300,0,20151202,24,11,,,
11,,,CC0803,PF_0000006_01,2015-12-02 00:00:00,FG,CR,080300,0,20151202,24,12,,,
12,,,CC03_2_R_C,PF_0000006_01,2015-12-02 00:00:00,FG,CR,080300,29.17,20151202,24,13,,,
13,,,CC03_2_L_C,PF_0000006_01,2015-12-02 00:00:00,FG,CR,080300,12.5,20151202,24,14,,,
14,,,CC01_3_L_C,PF_0000006_01,2015-12-02 00:00:00,FG,CR,080300,33.33,20151202,24,15,,,
15,,,CC03_1_L_C,PF_0000006_01,2015-12-02 00:00:00,FG,CR,080300,0,20151202,24,16,,,
16,,,CC03_1_R_O,PF_0000006_01,2015-12-03 00:00:00,FG,CR,080300,13.33,20151203,24,17,,,
17,,,CC0803,PF_0000006_01,2015-12-03 00:00:00,FG,CR,080300,0,20151203,24,18,,,
18,,,CC03_2_R_C,PF_0000006_01,2015-12-03 00:00:00,FG,CR,080300,27.92,20151203,24,19,,,
19,,,CC03_2_L_C,PF_0000006_01,2015-12-03 00:00:00,FG,CR,080300,29.33,20151203,24,20,,,
20,,,CC01_3_L_C,PF_0000006_01,2015-12-03 00:00:00,FG,CR,080300,41.67,20151203,24,21,,,
21,,,CC03_1_L_C,PF_0000006_01,2015-12-03 00:00:00,FG,CR,080300,16.96,20151203,24,22,,,
22,,,CC03_1_L_C,PF_0000006_01,2016-03-15 17:00:00,FG,CR,080300,0,20160315,28,23,,,
23,,,CC0803,PF_0000006_01,2016-03-15 17:00:00,FG,CR,080300,0,20160315,28,24,,,
24,,,CC03_2_R_C,PF_0000006_01,2016-03-15 17:00:00,FG,CR,080300,99.5,20160315,28,25,,,
25,,,CC03_2_L_C,PF_0000006_01,2016-03-15 17:00:00,FG,CR,080300,99.5,20160315,28,26,,,
26,,,CC03_1_R_O,PF_0000006_01,2016-03-15 17:00:00,FG,CR,080300,0,20160315,28,27,,,
27,,,CC01_3_L_C,PF_0000006_01,2016-03-15 17:00:00,FG,CR,080300,100,20160315,28,28,,,
28,,,CC01_3_L_C,PF_0000006_01,2016-03-15 18:00:00,FG,CR,080300,45.46,20160315,57,29,,,
29,,,CC03_2_L_C,PF_0000006_01,2016-03-15 18:00:00,FG,CR,080300,5.44,20160315,57,30,,,
30,,,CC0803,PF_0000006_01,2016-03-15 18:00:00,FG,CR,080300,0,20160315,57,31,,,
31,,,CC03_1_R_O,PF_0000006_01,2016-03-15 18:00:00,FG,CR,080300,0,20160315,57,32,,,
32,,,CC03_1_L_C,PF_0000006_01,2016-03-15 18:00:00,FG,CR,080300,0,20160315,57,33,,,
33,,,CC03_2_R_C,PF_0000006_01,2016-03-15 18:00:00,FG,CR,080300,5.37,20160315,57,34,,,
34,,,CC03_1_L_C,PF_0000006_01,2016-03-15 19:00:00,FG,CR,080300,0,20160315,57,35,,,
35,,,CC0803,PF_0000006_01,2016-03-15 19:00:00,FG,CR,080300,0,20160315,57,36,,,
36,,,CC03_2_R_C,PF_0000006_01,2016-03-15 19:00:00,FG,CR,080300,0,20160315,57,37,,,
37,,,CC01_3_L_C,PF_0000006_01,2016-03-15 19:00:00,FG,CR,080300,0,20160315,57,38,,,
38,,,CC03_1_R_O,PF_0000006_01,2016-03-15 19:00:00,FG,CR,080300,0,20160315,57,39,,,
39,,,CC03_2_L_C,PF_0000006_01,2016-03-15 19:00:00,FG,CR,080300,0,20160315,57,40,,,
40,,,CC03_1_R_O,PF_0000006_01,2016-03-15 20:00:00,FG,CR,080300,0,20160315,56,41,,,
41,,,CC01_3_L_C,PF_0000006_01,2016-03-15 20:00:00,FG,CR,080300,0,20160315,56,42,,,
42,,,CC03_1_L_C,PF_0000006_01,2016-03-15 20:00:00,FG,CR,080300,0,20160315,56,43,,,
43,,,CC03_2_L_C,PF_0000006_01,2016-03-15 20:00:00,FG,CR,080300,0,20160315,56,44,,,
44,,,CC03_2_R_C,PF_0000006_01,2016-03-15 20:00:00,FG,CR,080300,0,20160315,56,45,,,
45,,,CC0803,PF_0000006_01,2016-03-15 20:00:00,FG,CR,080300,0,20160315,56,46,,,
46,,,CC03_1_L_C,PF_0000006_01,2016-03-15 21:00:00,FG,CR,080300,0,20160315,57,47,,,
47,,,CC01_3_L_C,PF_0000006_01,2016-03-15 21:00:00,FG,CR,080300,0,20160315,57,48,,,
48,,,CC03_2_R_C,PF_0000006_01,2016-03-15 21:00:00,FG,CR,080300,0,20160315,57,49,,,
49,,,CC03_2_L_C,PF_0000006_01,2016-03-15 21:00:00,FG,CR,080300,0,20160315,57,50,,,
50,,,CC0803,PF_0000006_01,2016-03-15 21:00:00,FG,CR,080300,0,20160315,57,51,,,
51,,,CC03_1_R_O,PF_0000006_01,2016-03-15 21:00:00,FG,CR,080300,0,20160315,57,52,,,
52,,,CC0803,PF_0000006_01,2016-03-15 22:00:00,FG,CR,080300,0,20160315,56,53,,,
53,,,CC03_1_L_C,PF_0000006_01,2016-03-15 22:00:00,FG,CR,080300,0,20160315,56,54,,,
54,,,CC03_1_R_O,PF_0000006_01,2016-03-15 22:00:00,FG,CR,080300,0,20160315,56,55,,,
55,,,CC01_3_L_C,PF_0000006_01,2016-03-15 22:00:00,FG,CR,080300,0,20160315,56,56,,,
56,,,CC03_2_L_C,PF_0000006_01,2016-03-15 22:00:00,FG,CR,080300,0,20160315,56,57,,,
