,statusCode,statusMessage,fatrCode,facilityId,measDate,fldCode,sectCode,itemCode,senVal,ymd,cntCollect,num,totalRows,totalPage,currentPage
0,00,NORMAL_CODE,CC03_1_L_C,PF_0000012_01,2015-12-02 00:00:00,FG,CR,080300,1.13,20151202,24,1,11189.0,12,1
1,,,CC03_1_L_C,PF_0000012_01,2015-12-03 00:00:00,FG,CR,080300,12.75,20151203,24,2,,,
2,,,CC03_1_L_C,PF_0000012_01,2016-03-15 17:00:00,FG,CR,080300,0,20160315,15,3,,,
3,,,CC03_1_L_C,PF_0000012_01,2016-03-15 18:00:00,FG,CR,080300,0,20160315,41,4,,,
4,,,CC03_1_L_C,PF_0000012_01,2016-03-15 19:00:00,FG,CR,080300,0,20160315,43,5,,,
5,,,CC03_1_L_C,PF_0000012_01,2016-03-15 20:00:00,FG,CR,080300,0,20160315,44,6,,,
6,,,CC03_1_L_C,PF_0000012_01,2016-03-15 21:00:00,FG,CR,080300,0,20160315,44,7,,,
7,,,CC03_1_L_C,PF_0000012_01,2016-03-15 22:00:00,FG,CR,080300,0,20160315,38,8,,,
8,,,CC03_1_L_C,PF_0000012_01,2016-03-15 23:00:00,FG,CR,080300,0,20160315,36,9,,,
9,,,CC03_1_L_C,PF_0000012_01,2016-03-16 00:00:00,FG,CR,080300,52.63,20160316,76,10,,,
10,,,CC03_1_L_C,PF_0000012_01,2016-03-16 01:00:00,FG,CR,080300,0,20160316,38,11,,,
11,,,CC03_1_L_C,PF_0000012_01,2016-03-16 02:00:00,FG,CR,080300,0,20160316,38,12,,,
12,,,CC03_1_L_C,PF_0000012_01,2016-03-16 03:00:00,FG,CR,080300,0,20160316,38,13,,,
13,,,CC03_1_L_C,PF_0000012_01,2016-03-16 04:00:00,FG,CR,080300,0,20160316,40,14,,,
14,,,CC03_1_L_C,PF_0000012_01,2016-03-16 05:00:00,FG,CR,080300,0,20160316,35,15,,,
15,,,CC03_1_L_C,PF_0000012_01,2016-03-16 06:00:00,FG,CR,080300,0,20160316,36,16,,,
16,,,CC03_1_L_C,PF_0000012_01,2016-03-16 07:00:00,FG,CR,080300,0,20160316,34,17,,,
17,,,CC03_1_L_C,PF_0000012_01,2016-03-16 08:00:00,FG,CR,080300,0,20160316,34,18,,,
18,,,CC03_1_L_C,PF_0000012_01,2016-03-16 09:00:00,FG,CR,080300,8.65,20160316,34,19,,,
19,,,CC03_1_L_C,PF_0000012_01,2016-03-16 10:00:00,FG,CR,080300,60.28,20160316,36,20,,,
20,,,CC03_1_L_C,PF_0000012_01,2016-03-16 11:00:00,FG,CR,080300,99.89,20160316,35,21,,,
21,,,CC03_1_L_C,PF_0000012_01,2016-03-16 13:00:00,FG,CR,080300,100,20160316,35,22,,,
22,,,CC03_1_L_C,PF_0000012_01,2016-03-16 14:00:00,FG,CR,080300,100,20160316,35,23,,,
23,,,CC03_1_L_C,PF_0000012_01,2016-03-16 15:00:00,FG,CR,080300,100,20160316,38,24,,,
24,,,CC03_1_L_C,PF_0000012_01,2016-03-16 16:00:00,FG,CR,080300,100,20160316,38,25,,,
25,,,CC03_1_L_C,PF_0000012_01,2016-03-16 17:00:00,FG,CR,080300,12.52,20160316,33,26,,,
26,,,CC03_1_L_C,PF_0000012_01,2016-03-16 18:00:00,FG,CR,080300,0,20160316,38,27,,,
27,,,CC03_1_L_C,PF_0000012_01,2016-03-16 19:00:00,FG,CR,080300,0,20160316,38,28,,,
28,,,CC03_1_L_C,PF_0000012_01,2016-03-16 20:00:00,FG,CR,080300,0,20160316,42,29,,,
29,,,CC03_1_L_C,PF_0000012_01,2016-03-16 21:00:00,FG,CR,080300,0,20160316,38,30,,,
30,,,CC03_1_L_C,PF_0000012_01,2016-03-16 22:00:00,FG,CR,080300,0,20160316,36,31,,,
31,,,CC03_1_L_C,PF_0000012_01,2016-03-16 23:00:00,FG,CR,080300,0,20160316,41,32,,,
32,,,CC03_1_L_C,PF_0000012_01,2016-03-17 00:00:00,FG,CR,080300,48,20160317,75,33,,,
