,fatrCode,facilityId,measDate,fldCode,sectCode,itemCode,senVal,ymd,cntCollect,num,totalRows,totalPage,currentPage
0,PL,PF_0000125_01,2017-02-28 07:00:00,FG,EL,080300,5.36,20170228,2,1,28466.0,29,1
1,WD,PF_0000125_01,2017-02-28 07:00:00,FG,EO,080300,2.5,20170228,2,2,,,
2,TL,PF_0000125_01,2017-02-28 07:00:00,FG,NT,080300,20.55,20170228,2,3,,,
3,PO,PF_0000125_01,2017-02-28 07:00:00,FG,NT,080300,,20170228,2,4,,,
4,WS,PF_0000125_01,2017-02-28 07:00:00,FG,EO,080300,,20170228,2,5,,,
5,HI,PF_0000125_01,2017-02-28 07:00:00,FG,EI,080300,84.35,20170228,2,6,,,
6,TI,PF_0000125_01,2017-02-28 07:00:00,FG,EI,080300,16.15,20170228,2,7,,,
7,EI,PF_0000125_01,2017-02-28 07:00:00,FG,NT,080300,2.7,20170228,2,8,,,
8,HE,PF_0000125_01,2017-02-28 07:00:00,FG,EO,080300,84,20170228,2,9,,,
9,TE,PF_0000125_01,2017-02-28 07:00:00,FG,EO,080300,-3.25,20170228,2,10,,,
10,CI,PF_0000125_01,2017-02-28 07:00:00,FG,EI,080300,682,20170228,2,11,,,
11,RP,PF_0000125_01,2017-02-28 07:00:00,FG,EO,080300,,20170228,2,12,,,
12,SO,PF_0000125_01,2017-02-28 07:00:00,FG,NT,080300,300,20170228,2,13,,,
13,TL,PF_0000125_01,2017-02-28 08:00:00,FG,NT,080300,20.46,20170228,46,14,,,
14,TI,PF_0000125_01,2017-02-28 08:00:00,FG,EI,080300,17.12,20170228,46,15,,,
15,TE,PF_0000125_01,2017-02-28 08:00:00,FG,EO,080300,-.89,20170228,46,16,,,
16,SO,PF_0000125_01,2017-02-28 08:00:00,FG,NT,080300,300,20170228,46,17,,,
17,WS,PF_0000125_01,2017-02-28 08:00:00,FG,EO,080300,.7,20170228,46,18,,,
18,WD,PF_0000125_01,2017-02-28 08:00:00,FG,EO,080300,3.22,20170228,41,19,,,
19,EO,PF_0000125_01,2017-02-28 08:00:00,FG,NT,080300,,20170228,33,20,,,
20,EL,PF_0000125_01,2017-02-28 08:00:00,FG,EL,080300,1.96,20170228,33,21,,,
21,EI,PF_0000125_01,2017-02-28 08:00:00,FG,NT,080300,2.7,20170228,41,22,,,
22,CI,PF_0000125_01,2017-02-28 08:00:00,FG,EI,080300,682.52,20170228,46,23,,,
23,PI,PF_0000125_01,2017-02-28 08:00:00,FG,NT,080300,5.5,20170228,33,24,,,
24,HL,PF_0000125_01,2017-02-28 08:00:00,FG,NT,080300,63.3,20170228,33,25,,,
25,HI,PF_0000125_01,2017-02-28 08:00:00,FG,EI,080300,83.84,20170228,41,26,,,
26,HE,PF_0000125_01,2017-02-28 08:00:00,FG,EO,080300,80.93,20170228,41,27,,,
27,SI,PF_0000125_01,2017-02-28 08:00:00,FG,NT,080300,20,20170228,33,28,,,
28,RP,PF_0000125_01,2017-02-28 08:00:00,FG,EO,080300,,20170228,41,29,,,
29,PO,PF_0000125_01,2017-02-28 08:00:00,FG,NT,080300,,20170228,46,30,,,
30,PL,PF_0000125_01,2017-02-28 08:00:00,FG,EL,080300,5.33,20170228,46,31,,,
31,HE,PF_0000125_01,2017-02-28 09:00:00,FG,EO,080300,68.15,20170228,40,32,,,
32,TL,PF_0000125_01,2017-02-28 09:00:00,FG,NT,080300,20.55,20170228,34,33,,,
33,CI,PF_0000125_01,2017-02-28 09:00:00,FG,EI,080300,711.24,20170228,34,34,,,
34,HI,PF_0000125_01,2017-02-28 09:00:00,FG,EI,080300,78.92,20170228,40,35,,,
35,EO,PF_0000125_01,2017-02-28 09:00:00,FG,NT,080300,,20170228,46,36,,,
36,EI,PF_0000125_01,2017-02-28 09:00:00,FG,NT,080300,2.68,20170228,40,37,,,
37,SO,PF_0000125_01,2017-02-28 09:00:00,FG,NT,080300,300,20170228,34,38,,,
38,SI,PF_0000125_01,2017-02-28 09:00:00,FG,NT,080300,20,20170228,46,39,,,
39,WD,PF_0000125_01,2017-02-28 09:00:00,FG,EO,080300,4.08,20170228,40,40,,,
40,RP,PF_0000125_01,2017-02-28 09:00:00,FG,EO,080300,,20170228,40,41,,,
41,PI,PF_0000125_01,2017-02-28 09:00:00,FG,NT,080300,5.5,20170228,46,42,,,
42,TE,PF_0000125_01,2017-02-28 09:00:00,FG,EO,080300,2.66,20170228,34,43,,,
43,PO,PF_0000125_01,2017-02-28 09:00:00,FG,NT,080300,,20170228,34,44,,,
44,EL,PF_0000125_01,2017-02-28 09:00:00,FG,EL,080300,2.38,20170228,46,45,,,
45,TI,PF_0000125_01,2017-02-28 09:00:00,FG,EI,080300,21.32,20170228,34,46,,,
46,PL,PF_0000125_01,2017-02-28 09:00:00,FG,EL,080300,5.46,20170228,34,47,,,
47,HL,PF_0000125_01,2017-02-28 09:00:00,FG,NT,080300,62.13,20170228,46,48,,,
48,WS,PF_0000125_01,2017-02-28 09:00:00,FG,EO,080300,.92,20170228,34,49,,,
49,CI,PF_0000125_01,2017-02-28 10:00:00,FG,EI,080300,619.44,20170228,36,50,,,
50,HE,PF_0000125_01,2017-02-28 10:00:00,FG,EO,080300,50.6,20170228,43,51,,,
51,SI,PF_0000125_01,2017-02-28 10:00:00,FG,NT,080300,20,20170228,41,52,,,
52,TI,PF_0000125_01,2017-02-28 10:00:00,FG,EI,080300,24.09,20170228,36,53,,,
53,EL,PF_0000125_01,2017-02-28 10:00:00,FG,EL,080300,2.64,20170228,41,54,,,
54,TE,PF_0000125_01,2017-02-28 10:00:00,FG,EO,080300,7.37,20170228,36,55,,,
55,RP,PF_0000125_01,2017-02-28 10:00:00,FG,EO,080300,,20170228,43,56,,,
56,SO,PF_0000125_01,2017-02-28 10:00:00,FG,NT,080300,300,20170228,36,57,,,
57,PL,PF_0000125_01,2017-02-28 10:00:00,FG,EL,080300,5.68,20170228,36,58,,,
58,WS,PF_0000125_01,2017-02-28 10:00:00,FG,EO,080300,.79,20170228,36,59,,,
59,PO,PF_0000125_01,2017-02-28 10:00:00,FG,NT,080300,,20170228,36,60,,,
60,WD,PF_0000125_01,2017-02-28 10:00:00,FG,EO,080300,4.07,20170228,43,61,,,
61,EI,PF_0000125_01,2017-02-28 10:00:00,FG,NT,080300,2.67,20170228,43,62,,,
62,HL,PF_0000125_01,2017-02-28 10:00:00,FG,NT,080300,77.44,20170228,41,63,,,
63,PI,PF_0000125_01,2017-02-28 10:00:00,FG,NT,080300,5.5,20170228,41,64,,,
64,HI,PF_0000125_01,2017-02-28 10:00:00,FG,EI,080300,67.9,20170228,43,65,,,
65,EO,PF_0000125_01,2017-02-28 10:00:00,FG,NT,080300,,20170228,41,66,,,
66,TL,PF_0000125_01,2017-02-28 10:00:00,FG,NT,080300,21.48,20170228,36,67,,,
67,TL,PF_0000125_01,2017-02-28 11:00:00,FG,NT,080300,22.46,20170228,34,68,,,
68,TI,PF_0000125_01,2017-02-28 11:00:00,FG,EI,080300,25.25,20170228,34,69,,,
69,TE,PF_0000125_01,2017-02-28 11:00:00,FG,EO,080300,10.78,20170228,34,70,,,
70,SO,PF_0000125_01,2017-02-28 11:00:00,FG,NT,080300,300,20170228,34,71,,,
71,WS,PF_0000125_01,2017-02-28 11:00:00,FG,EO,080300,.99,20170228,34,72,,,
72,WD,PF_0000125_01,2017-02-28 11:00:00,FG,EO,080300,4.02,20170228,41,73,,,
73,HL,PF_0000125_01,2017-02-28 11:00:00,FG,NT,080300,84.09,20170228,45,74,,,
74,HI,PF_0000125_01,2017-02-28 11:00:00,FG,EI,080300,61.81,20170228,41,75,,,
75,HE,PF_0000125_01,2017-02-28 11:00:00,FG,EO,080300,37.49,20170228,41,76,,,
76,SI,PF_0000125_01,2017-02-28 11:00:00,FG,NT,080300,20,20170228,45,77,,,
77,RP,PF_0000125_01,2017-02-28 11:00:00,FG,EO,080300,,20170228,41,78,,,
78,PO,PF_0000125_01,2017-02-28 11:00:00,FG,NT,080300,,20170228,34,79,,,
79,PL,PF_0000125_01,2017-02-28 11:00:00,FG,EL,080300,5.66,20170228,34,80,,,
80,EO,PF_0000125_01,2017-02-28 11:00:00,FG,NT,080300,,20170228,45,81,,,
81,EL,PF_0000125_01,2017-02-28 11:00:00,FG,EL,080300,2.73,20170228,45,82,,,
82,EI,PF_0000125_01,2017-02-28 11:00:00,FG,NT,080300,2.71,20170228,41,83,,,
83,CI,PF_0000125_01,2017-02-28 11:00:00,FG,EI,080300,546.88,20170228,34,84,,,
84,PI,PF_0000125_01,2017-02-28 11:00:00,FG,NT,080300,5.5,20170228,45,85,,,
85,PI,PF_0000125_01,2017-02-28 12:00:00,FG,NT,080300,5.5,20170228,40,86,,,
86,CI,PF_0000125_01,2017-02-28 12:00:00,FG,EI,080300,527.17,20170228,35,87,,,
87,EI,PF_0000125_01,2017-02-28 12:00:00,FG,NT,080300,2.71,20170228,45,88,,,
88,EL,PF_0000125_01,2017-02-28 12:00:00,FG,EL,080300,2.74,20170228,40,89,,,
89,EO,PF_0000125_01,2017-02-28 12:00:00,FG,NT,080300,,20170228,40,90,,,
90,PL,PF_0000125_01,2017-02-28 12:00:00,FG,EL,080300,5.63,20170228,35,91,,,
91,PO,PF_0000125_01,2017-02-28 12:00:00,FG,NT,080300,,20170228,35,92,,,
92,RP,PF_0000125_01,2017-02-28 12:00:00,FG,EO,080300,,20170228,45,93,,,
93,SI,PF_0000125_01,2017-02-28 12:00:00,FG,NT,080300,20,20170228,40,94,,,
94,HE,PF_0000125_01,2017-02-28 12:00:00,FG,EO,080300,30.76,20170228,45,95,,,
95,HI,PF_0000125_01,2017-02-28 12:00:00,FG,EI,080300,53.8,20170228,45,96,,,
96,HL,PF_0000125_01,2017-02-28 12:00:00,FG,NT,080300,82.53,20170228,40,97,,,
97,WD,PF_0000125_01,2017-02-28 12:00:00,FG,EO,080300,5.22,20170228,45,98,,,
98,WS,PF_0000125_01,2017-02-28 12:00:00,FG,EO,080300,1.51,20170228,35,99,,,
99,SO,PF_0000125_01,2017-02-28 12:00:00,FG,NT,080300,300,20170228,35,100,,,
100,TE,PF_0000125_01,2017-02-28 12:00:00,FG,EO,080300,12.22,20170228,35,101,,,
101,TI,PF_0000125_01,2017-02-28 12:00:00,FG,EI,080300,25.33,20170228,35,102,,,
102,TL,PF_0000125_01,2017-02-28 12:00:00,FG,NT,080300,23.08,20170228,35,103,,,
103,PI,PF_0000125_01,2017-02-28 13:00:00,FG,NT,080300,5.5,20170228,35,104,,,
104,TI,PF_0000125_01,2017-02-28 13:00:00,FG,EI,080300,25.62,20170228,43,105,,,
105,EI,PF_0000125_01,2017-02-28 13:00:00,FG,NT,080300,2.65,20170228,40,106,,,
106,EL,PF_0000125_01,2017-02-28 13:00:00,FG,EL,080300,2.67,20170228,35,107,,,
107,EO,PF_0000125_01,2017-02-28 13:00:00,FG,NT,080300,,20170228,35,108,,,
108,PL,PF_0000125_01,2017-02-28 13:00:00,FG,EL,080300,5.65,20170228,43,109,,,
109,PO,PF_0000125_01,2017-02-28 13:00:00,FG,NT,080300,,20170228,43,110,,,
110,RP,PF_0000125_01,2017-02-28 13:00:00,FG,EO,080300,,20170228,40,111,,,
111,SI,PF_0000125_01,2017-02-28 13:00:00,FG,NT,080300,20,20170228,35,112,,,
112,HE,PF_0000125_01,2017-02-28 13:00:00,FG,EO,080300,33.43,20170228,40,113,,,
113,HI,PF_0000125_01,2017-02-28 13:00:00,FG,EI,080300,55.95,20170228,40,114,,,
114,HL,PF_0000125_01,2017-02-28 13:00:00,FG,NT,080300,83.37,20170228,35,115,,,
115,TL,PF_0000125_01,2017-02-28 13:00:00,FG,NT,080300,24.19,20170228,43,116,,,
116,WD,PF_0000125_01,2017-02-28 13:00:00,FG,EO,080300,5.78,20170228,40,117,,,
117,WS,PF_0000125_01,2017-02-28 13:00:00,FG,EO,080300,1.36,20170228,43,118,,,
118,SO,PF_0000125_01,2017-02-28 13:00:00,FG,NT,080300,300,20170228,43,119,,,
119,TE,PF_0000125_01,2017-02-28 13:00:00,FG,EO,080300,13.11,20170228,43,120,,,
120,CI,PF_0000125_01,2017-02-28 13:00:00,FG,EI,080300,545.79,20170228,43,121,,,
121,PI,PF_0000125_01,2017-02-28 14:00:00,FG,NT,080300,5.5,20170228,39,122,,,
122,TI,PF_0000125_01,2017-02-28 14:00:00,FG,EI,080300,24.95,20170228,36,123,,,
123,EI,PF_0000125_01,2017-02-28 14:00:00,FG,NT,080300,2.71,20170228,45,124,,,
124,EL,PF_0000125_01,2017-02-28 14:00:00,FG,EL,080300,2.65,20170228,39,125,,,
125,EO,PF_0000125_01,2017-02-28 14:00:00,FG,NT,080300,,20170228,39,126,,,
126,PL,PF_0000125_01,2017-02-28 14:00:00,FG,EL,080300,5.58,20170228,36,127,,,
127,PO,PF_0000125_01,2017-02-28 14:00:00,FG,NT,080300,,20170228,36,128,,,
128,RP,PF_0000125_01,2017-02-28 14:00:00,FG,EO,080300,,20170228,45,129,,,
129,SI,PF_0000125_01,2017-02-28 14:00:00,FG,NT,080300,20,20170228,39,130,,,
130,HE,PF_0000125_01,2017-02-28 14:00:00,FG,EO,080300,32.98,20170228,45,131,,,
131,HI,PF_0000125_01,2017-02-28 14:00:00,FG,EI,080300,54.53,20170228,45,132,,,
132,HL,PF_0000125_01,2017-02-28 14:00:00,FG,NT,080300,84.03,20170228,39,133,,,
133,TL,PF_0000125_01,2017-02-28 14:00:00,FG,NT,080300,24.48,20170228,36,134,,,
134,WD,PF_0000125_01,2017-02-28 14:00:00,FG,EO,080300,5.58,20170228,45,135,,,
135,WS,PF_0000125_01,2017-02-28 14:00:00,FG,EO,080300,1.47,20170228,36,136,,,
136,SO,PF_0000125_01,2017-02-28 14:00:00,FG,NT,080300,300,20170228,36,137,,,
137,TE,PF_0000125_01,2017-02-28 14:00:00,FG,EO,080300,13.54,20170228,36,138,,,
138,CI,PF_0000125_01,2017-02-28 14:00:00,FG,EI,080300,502.44,20170228,36,139,,,
139,PI,PF_0000125_01,2017-02-28 15:00:00,FG,NT,080300,5.5,20170228,47,140,,,
140,TI,PF_0000125_01,2017-02-28 15:00:00,FG,EI,080300,24.29,20170228,27,141,,,
141,EI,PF_0000125_01,2017-02-28 15:00:00,FG,NT,080300,2.7,20170228,46,142,,,
142,EL,PF_0000125_01,2017-02-28 15:00:00,FG,EL,080300,2.6,20170228,47,143,,,
143,EO,PF_0000125_01,2017-02-28 15:00:00,FG,NT,080300,,20170228,47,144,,,
144,PL,PF_0000125_01,2017-02-28 15:00:00,FG,EL,080300,5.47,20170228,27,145,,,
145,PO,PF_0000125_01,2017-02-28 15:00:00,FG,NT,080300,,20170228,27,146,,,
146,RP,PF_0000125_01,2017-02-28 15:00:00,FG,EO,080300,,20170228,46,147,,,
147,SI,PF_0000125_01,2017-02-28 15:00:00,FG,NT,080300,20,20170228,47,148,,,
148,HE,PF_0000125_01,2017-02-28 15:00:00,FG,EO,080300,35.83,20170228,46,149,,,
149,HI,PF_0000125_01,2017-02-28 15:00:00,FG,EI,080300,59.37,20170228,46,150,,,
150,HL,PF_0000125_01,2017-02-28 15:00:00,FG,NT,080300,82.96,20170228,47,151,,,
151,TL,PF_0000125_01,2017-02-28 15:00:00,FG,NT,080300,24.91,20170228,27,152,,,
152,WD,PF_0000125_01,2017-02-28 15:00:00,FG,EO,080300,6.17,20170228,46,153,,,
153,WS,PF_0000125_01,2017-02-28 15:00:00,FG,EO,080300,1.37,20170228,27,154,,,
154,SO,PF_0000125_01,2017-02-28 15:00:00,FG,NT,080300,300,20170228,27,155,,,
