,fatrCode,facilityId,measDate,fldCode,sectCode,itemCode,senVal,ymd,cntCollect,num,totalRows,totalPage,currentPage
0,WD,PF_0020356_01,2020-09-25 00:00:00,FG,EO,080300,,20200925,22,1,6560.0,7,1
1,CI,PF_0020356_01,2020-09-25 00:00:00,FG,EI,080300,,20200925,22,2,,,
2,TE,PF_0020356_01,2020-09-25 00:00:00,FG,EO,080300,0,20200925,22,3,,,
3,RP,PF_0020356_01,2020-09-25 00:00:00,FG,EO,080300,0,20200925,22,4,,,
4,TL,PF_0020356_01,2020-09-25 00:00:00,FG,EL,080300,,20200925,22,5,,,
5,HI,PF_0020356_01,2020-09-25 00:00:00,FG,EI,080300,0,20200925,66,6,,,
6,TI,PF_0020356_01,2020-09-25 00:00:00,FG,EI,080300,0,20200925,66,7,,,
7,WS,PF_0020356_01,2020-09-25 00:00:00,FG,EO,080300,0,20200925,22,8,,,
8,SR,PF_0020356_01,2020-09-25 00:00:00,FG,EO,080300,0,20200925,22,9,,,
9,HL,PF_0020356_01,2020-09-25 00:00:00,FG,NT,080300,,20200925,22,10,,,
10,CI,PF_0020356_01,2020-09-25 01:00:00,FG,EI,080300,,20200925,22,11,,,
11,TL,PF_0020356_01,2020-09-25 01:00:00,FG,EL,080300,,20200925,22,12,,,
12,TE,PF_0020356_01,2020-09-25 01:00:00,FG,EO,080300,0,20200925,22,13,,,
13,HI,PF_0020356_01,2020-09-25 01:00:00,FG,EI,080300,0,20200925,66,14,,,
14,TI,PF_0020356_01,2020-09-25 01:00:00,FG,EI,080300,0,20200925,66,15,,,
15,SR,PF_0020356_01,2020-09-25 01:00:00,FG,EO,080300,0,20200925,22,16,,,
16,WS,PF_0020356_01,2020-09-25 01:00:00,FG,EO,080300,0,20200925,22,17,,,
17,HL,PF_0020356_01,2020-09-25 01:00:00,FG,NT,080300,,20200925,22,18,,,
18,RP,PF_0020356_01,2020-09-25 01:00:00,FG,EO,080300,0,20200925,22,19,,,
19,WD,PF_0020356_01,2020-09-25 01:00:00,FG,EO,080300,,20200925,22,20,,,
20,RP,PF_0020356_01,2020-09-25 02:00:00,FG,EO,080300,0,20200925,22,21,,,
21,HI,PF_0020356_01,2020-09-25 02:00:00,FG,EI,080300,0,20200925,66,22,,,
22,WD,PF_0020356_01,2020-09-25 02:00:00,FG,EO,080300,,20200925,22,23,,,
23,WS,PF_0020356_01,2020-09-25 02:00:00,FG,EO,080300,0,20200925,22,24,,,
24,SR,PF_0020356_01,2020-09-25 02:00:00,FG,EO,080300,0,20200925,22,25,,,
25,CI,PF_0020356_01,2020-09-25 02:00:00,FG,EI,080300,,20200925,22,26,,,
26,TE,PF_0020356_01,2020-09-25 02:00:00,FG,EO,080300,0,20200925,22,27,,,
27,TI,PF_0020356_01,2020-09-25 02:00:00,FG,EI,080300,0,20200925,66,28,,,
