,fatrCode,facilityId,measDate,fldCode,sectCode,itemCode,senVal,ymd,cntCollect,num,totalRows,totalPage,currentPage
0,WS,PF_0010075_01,2019-12-24 17:00:00,FG,EO,080300,0,20191224,2,1,32273.0,33,1
1,WD,PF_0010075_01,2019-12-24 17:00:00,FG,EO,080300,,20191224,2,2,,,
2,TL,PF_0010075_01,2019-12-24 17:00:00,FG,EL,080300,,20191224,2,3,,,
3,TI,PF_0010075_01,2019-12-24 17:00:00,FG,EI,080300,17.75,20191224,6,4,,,
4,CI,PF_0010075_01,2019-12-24 17:00:00,FG,EI,080300,490,20191224,2,5,,,
5,SR,PF_0010075_01,2019-12-24 17:00:00,FG,EO,080300,0,20191224,2,6,,,
6,RP,PF_0010075_01,2019-12-24 17:00:00,FG,EO,080300,0,20191224,2,7,,,
7,HL,PF_0010075_01,2019-12-24 17:00:00,FG,NT,080300,,20191224,2,8,,,
8,HI,PF_0010075_01,2019-12-24 17:00:00,FG,EI,080300,84.15,20191224,6,9,,,
9,TE,PF_0010075_01,2019-12-24 17:00:00,FG,EO,080300,5.2,20191224,2,10,,,
10,CI,PF_0010075_01,2019-12-24 18:00:00,FG,EI,080300,503.64,20191224,84,11,,,
11,WS,PF_0010075_01,2019-12-24 18:00:00,FG,EO,080300,.72,20191224,84,12,,,
12,WD,PF_0010075_01,2019-12-24 18:00:00,FG,EO,080300,,20191224,84,13,,,
13,TL,PF_0010075_01,2019-12-24 18:00:00,FG,EL,080300,,20191224,84,14,,,
14,TI,PF_0010075_01,2019-12-24 18:00:00,FG,EI,080300,16.17,20191224,252,15,,,
15,TE,PF_0010075_01,2019-12-24 18:00:00,FG,EO,080300,3.67,20191224,84,16,,,
16,SR,PF_0010075_01,2019-12-24 18:00:00,FG,EO,080300,0,20191224,84,17,,,
17,RP,PF_0010075_01,2019-12-24 18:00:00,FG,EO,080300,0,20191224,84,18,,,
18,HL,PF_0010075_01,2019-12-24 18:00:00,FG,NT,080300,,20191224,84,19,,,
19,HI,PF_0010075_01,2019-12-24 18:00:00,FG,EI,080300,83.93,20191224,252,20,,,
20,RP,PF_0010075_01,2019-12-24 19:00:00,FG,EO,080300,0,20191224,84,21,,,
21,WS,PF_0010075_01,2019-12-24 19:00:00,FG,EO,080300,.15,20191224,84,22,,,
22,TE,PF_0010075_01,2019-12-24 19:00:00,FG,EO,080300,1.69,20191224,84,23,,,
23,TI,PF_0010075_01,2019-12-24 19:00:00,FG,EI,080300,15.24,20191224,252,24,,,
24,CI,PF_0010075_01,2019-12-24 19:00:00,FG,EI,080300,523.71,20191224,84,25,,,
25,TL,PF_0010075_01,2019-12-24 19:00:00,FG,EL,080300,,20191224,84,26,,,
26,HI,PF_0010075_01,2019-12-24 19:00:00,FG,EI,080300,82.2,20191224,252,27,,,
27,WD,PF_0010075_01,2019-12-24 19:00:00,FG,EO,080300,,20191224,84,28,,,
28,SR,PF_0010075_01,2019-12-24 19:00:00,FG,EO,080300,0,20191224,84,29,,,
29,HL,PF_0010075_01,2019-12-24 19:00:00,FG,NT,080300,,20191224,84,30,,,
30,WD,PF_0010075_01,2019-12-24 20:00:00,FG,EO,080300,,20191224,84,31,,,
31,TE,PF_0010075_01,2019-12-24 20:00:00,FG,EO,080300,-.25,20191224,84,32,,,
32,WS,PF_0010075_01,2019-12-24 20:00:00,FG,EO,080300,0,20191224,84,33,,,
33,SR,PF_0010075_01,2019-12-24 20:00:00,FG,EO,080300,0,20191224,84,34,,,
34,TI,PF_0010075_01,2019-12-24 20:00:00,FG,EI,080300,15,20191224,252,35,,,
35,CI,PF_0010075_01,2019-12-24 20:00:00,FG,EI,080300,539.69,20191224,84,36,,,
