,fatrCode,facilityId,measDate,fldCode,sectCode,itemCode,senVal,ymd,cntCollect,num,totalRows,totalPage,currentPage
0,TI,PF_0006415_01,2020-05-15 00:00:00,FG,EI,080300,21.27,20200515,60,1,4912.0,5,1
1,LI,PF_0006415_01,2020-05-15 00:00:00,FG,EI,080300,2,20200515,60,2,,,
2,HI,PF_0006415_01,2020-05-15 00:00:00,FG,EI,080300,89.37,20200515,60,3,,,
3,HI,PF_0006415_01,2020-05-15 01:00:00,FG,EI,080300,89.29,20200515,60,4,,,
4,LI,PF_0006415_01,2020-05-15 01:00:00,FG,EI,080300,2,20200515,60,5,,,
5,TI,PF_0006415_01,2020-05-15 01:00:00,FG,EI,080300,20.84,20200515,60,6,,,
6,HI,PF_0006415_01,2020-05-15 02:00:00,FG,EI,080300,89.18,20200515,60,7,,,
7,TI,PF_0006415_01,2020-05-15 02:00:00,FG,EI,080300,20.49,20200515,60,8,,,
8,LI,PF_0006415_01,2020-05-15 02:00:00,FG,EI,080300,2,20200515,60,9,,,
9,TI,PF_0006415_01,2020-05-15 03:00:00,FG,EI,080300,20.15,20200515,60,10,,,
10,LI,PF_0006415_01,2020-05-15 03:00:00,FG,EI,080300,2,20200515,60,11,,,
11,HI,PF_0006415_01,2020-05-15 03:00:00,FG,EI,080300,89.12,20200515,60,12,,,
12,TI,PF_0006415_01,2020-05-15 04:00:00,FG,EI,080300,19.95,20200515,60,13,,,
13,LI,PF_0006415_01,2020-05-15 04:00:00,FG,EI,080300,2,20200515,60,14,,,
14,HI,PF_0006415_01,2020-05-15 04:00:00,FG,EI,080300,89.77,20200515,60,15,,,
15,LI,PF_0006415_01,2020-05-15 05:00:00,FG,EI,080300,10.1,20200515,60,16,,,
16,HI,PF_0006415_01,2020-05-15 05:00:00,FG,EI,080300,89.75,20200515,60,17,,,
17,TI,PF_0006415_01,2020-05-15 05:00:00,FG,EI,080300,19.61,20200515,60,18,,,
18,HI,PF_0006415_01,2020-05-15 06:00:00,FG,EI,080300,90.01,20200515,60,19,,,
19,TI,PF_0006415_01,2020-05-15 06:00:00,FG,EI,080300,19.35,20200515,60,20,,,
20,LI,PF_0006415_01,2020-05-15 06:00:00,FG,EI,080300,77.75,20200515,60,21,,,
21,LI,PF_0006415_01,2020-05-15 07:00:00,FG,EI,080300,188.15,20200515,60,22,,,
22,HI,PF_0006415_01,2020-05-15 07:00:00,FG,EI,080300,90.27,20200515,60,23,,,
23,TI,PF_0006415_01,2020-05-15 07:00:00,FG,EI,080300,19.8,20200515,60,24,,,
24,HI,PF_0006415_01,2020-05-15 08:00:00,FG,EI,080300,89.92,20200515,60,25,,,
25,LI,PF_0006415_01,2020-05-15 08:00:00,FG,EI,080300,330.83,20200515,60,26,,,
26,TI,PF_0006415_01,2020-05-15 08:00:00,FG,EI,080300,20.46,20200515,60,27,,,
27,HI,PF_0006415_01,2020-05-15 09:00:00,FG,EI,080300,90.47,20200515,60,28,,,
28,LI,PF_0006415_01,2020-05-15 09:00:00,FG,EI,080300,401.62,20200515,60,29,,,
29,TI,PF_0006415_01,2020-05-15 09:00:00,FG,EI,080300,21.83,20200515,60,30,,,
30,HI,PF_0006415_01,2020-05-15 10:00:00,FG,EI,080300,90.27,20200515,60,31,,,
31,LI,PF_0006415_01,2020-05-15 10:00:00,FG,EI,080300,443.88,20200515,60,32,,,
32,TI,PF_0006415_01,2020-05-15 10:00:00,FG,EI,080300,22.41,20200515,60,33,,,
33,HI,PF_0006415_01,2020-05-15 11:00:00,FG,EI,080300,89.92,20200515,59,34,,,
34,LI,PF_0006415_01,2020-05-15 11:00:00,FG,EI,080300,392.53,20200515,59,35,,,
35,TI,PF_0006415_01,2020-05-15 11:00:00,FG,EI,080300,22.76,20200515,59,36,,,
36,LI,PF_0006415_01,2020-05-15 12:00:00,FG,EI,080300,461.28,20200515,60,37,,,
37,HI,PF_0006415_01,2020-05-15 12:00:00,FG,EI,080300,89.88,20200515,60,38,,,
38,TI,PF_0006415_01,2020-05-15 12:00:00,FG,EI,080300,22.4,20200515,60,39,,,
39,TI,PF_0006415_01,2020-05-15 13:00:00,FG,EI,080300,23.26,20200515,57,40,,,
40,LI,PF_0006415_01,2020-05-15 13:00:00,FG,EI,080300,558.67,20200515,57,41,,,
41,HI,PF_0006415_01,2020-05-15 13:00:00,FG,EI,080300,92.1,20200515,57,42,,,
42,HI,PF_0006415_01,2020-05-15 14:00:00,FG,EI,080300,91.27,20200515,60,43,,,
43,TI,PF_0006415_01,2020-05-15 14:00:00,FG,EI,080300,24.99,20200515,60,44,,,
44,LI,PF_0006415_01,2020-05-15 14:00:00,FG,EI,080300,533.27,20200515,60,45,,,
45,HI,PF_0006415_01,2020-05-15 15:00:00,FG,EI,080300,89.3,20200515,57,46,,,
46,LI,PF_0006415_01,2020-05-15 15:00:00,FG,EI,080300,381.61,20200515,57,47,,,
47,TI,PF_0006415_01,2020-05-15 15:00:00,FG,EI,080300,23.98,20200515,57,48,,,
48,LI,PF_0006415_01,2020-05-15 16:00:00,FG,EI,080300,216.51,20200515,49,49,,,
49,TI,PF_0006415_01,2020-05-15 16:00:00,FG,EI,080300,22.87,20200515,49,50,,,
50,HI,PF_0006415_01,2020-05-15 16:00:00,FG,EI,080300,88.53,20200515,49,51,,,
51,TI,PF_0006415_01,2020-05-15 17:00:00,FG,EI,080300,21.47,20200515,50,52,,,
52,HI,PF_0006415_01,2020-05-15 17:00:00,FG,EI,080300,88.92,20200515,50,53,,,
53,LI,PF_0006415_01,2020-05-15 17:00:00,FG,EI,080300,110.14,20200515,50,54,,,
54,HI,PF_0006415_01,2020-05-15 18:00:00,FG,EI,080300,89.65,20200515,46,55,,,
55,TI,PF_0006415_01,2020-05-15 18:00:00,FG,EI,080300,16.33,20200515,46,56,,,
56,LI,PF_0006415_01,2020-05-15 18:00:00,FG,EI,080300,46.63,20200515,46,57,,,
57,TI,PF_0006415_01,2020-05-15 19:00:00,FG,EI,080300,19.6,20200515,60,58,,,
58,HI,PF_0006415_01,2020-05-15 19:00:00,FG,EI,080300,90.22,20200515,60,59,,,
59,LI,PF_0006415_01,2020-05-15 19:00:00,FG,EI,080300,5.05,20200515,60,60,,,
60,TI,PF_0006415_01,2020-05-15 20:00:00,FG,EI,080300,19.05,20200515,60,61,,,
61,HI,PF_0006415_01,2020-05-15 20:00:00,FG,EI,080300,90.77,20200515,60,62,,,
62,LI,PF_0006415_01,2020-05-15 20:00:00,FG,EI,080300,2,20200515,60,63,,,
63,HI,PF_0006415_01,2020-05-15 21:00:00,FG,EI,080300,91.09,20200515,60,64,,,
64,TI,PF_0006415_01,2020-05-15 21:00:00,FG,EI,080300,18.79,20200515,60,65,,,
65,LI,PF_0006415_01,2020-05-15 21:00:00,FG,EI,080300,2,20200515,60,66,,,
66,LI,PF_0006415_01,2020-05-15 22:00:00,FG,EI,080300,2,20200515,54,67,,,
67,HI,PF_0006415_01,2020-05-15 22:00:00,FG,EI,080300,91.31,20200515,54,68,,,
68,TI,PF_0006415_01,2020-05-15 22:00:00,FG,EI,080300,17.75,20200515,54,69,,,
69,HI,PF_0006415_01,2020-05-15 23:00:00,FG,EI,080300,91.43,20200515,60,70,,,
70,LI,PF_0006415_01,2020-05-15 23:00:00,FG,EI,080300,2,20200515,60,71,,,
